Id,Label
1139,"D.H. KING, JR."
1140,DANIEL S. LAMONT
1141,FRANKLIN D. LOCKE
1142,STEPHEN S. PALMER
1143,"CHARLES A. PEABODY, JR."
1144,MOSES TAYLOR PYNE
1145,ARCHIBALD D. RUSSELL
1146,HENRY A.C. TAYLOR
1147,EDWARD H. PEASLEE
1148,FREDERICK FOWLER
1149,EWALD FLEITMANN
1150,THOMAS P. FOWLER
1151,B. AYMAR SANDS
1152,JACOB H. SCHRIFF
1153,ERIC P. SWENSON
1154,ALBERT P. WELLS
1155,FRANK A. SELLE
1156,I. SIMONSON
1157,A.G. CALDER
1158,ETHAN ALLEN DOTY
1159,CHARLES A. HULL
1160,THOMAS MERCHANT
