Id,Label,Director
531,THOMAS MONAHAN,1
532,ERNST NATHAN,1
533,JOHN D. SULLIVAN,1
534,DAVID H. VALENTINE,1
535,THOMAS J. WASHBURN,1
536,THOMAS L. WELLS,1
537,H. BATTERMAN,1
538,JOHN H. SCHUMANN,1
539,H.B. SCHARMANN,1
540,GEORGE F. MOGER,1
541,LOUIS BOSSERT,1
542,GEORGE H. FISHER,1
543,H.S. HOLLINGSWORTH,1
544,WILLIAM LAMB,1
545,JOHN McKEE,1
546,CHARLES MILLER,1
547,JOHN M. MOSER,1
548,CHARLES NAEHER,1
549,JOHN H. SCHEIDT,1
550,MILLARD F. SMITH,1
551,FRANCIS A. PALMER,1
552,PETER CUMMING,1
553,J. BERRE KING,1
554,HORACE F. HUTCHINSON,1
555,FRED BAKER,1
556,EUGENE BRITTON,1
557,H. MORTIMER BRUSH,1
558,WARREN A. CONOVER,1
559,FRANCIS P. FURNALD,1
560,JACOB A. GEISSENHAINER,1
561,EDWARD P. GRIFFIN,1
562,GEORGE T. HAY,1
563,JACON D.T. HERSEY,1
564,HUDSON HOAGLAND,1
565,RICHARD B. KELLY,1
566,OSCAR T. MACKEY,1
567,W.L. WELLINGTON,1
568,W.H. BIRCHALL,1
569,C.A. BECKER,1
570,M.M. CORWIN,1
571,"THOMAS BOLTON, JR.",1
572,WILLIAM H. BOLTON,1
573,WILLIAM HENDERSON,1
574,MARTIN WALTER,1
575,GEORGE W. WHITEHEAD,1
576,HENRY E. HUTCHINSON,1
577,THOMAS M. HALSEY,1
578,WILLIAM J. CARR,1
579,"W.N. COLER, JR.",1
580,MATHEW DEAN,1
581,"JOHN DITMAS, JR.",1
582,DESMOND DUNNE,1
583,WILLIAM T. GOUNDIE,1
584,CARMON R. HETFIELD,1
585,CLEMENT LOCKITT,1
586,THOMAS H. MESSENGER,1
587,FREDERICK E. PITKIN,1
588,GEORGE P. SHELDON,1
589,PERCIVAL C. SMITH,1
590,BRYAN H. SMITH,1
591,EDWARD D. WHITE,1
592,FELIX E. FLANDREAU,1
593,CHARLES C. PUTNAM,1
594,FRANK L. BABBOTT,1
595,HIRAM V.V. BRAMAN,1
596,JONATHAN BULKLEY,1
597,FRANCIS L. EAMES,1
598,RICHARD L. EDWARDS,1
599,LYMAN R. GREENE,1
600,CROWELL HADDEN,1
601,A. AUGUSTUS HEALY,1
